url,title,contact_email,source,scraped_at
https://www.washington.edu/news/2016/04/29/new-uw-program-aims-to-create-brotherhood-for-male-students-of-color/,New UW program aims to create 'brotherhood' for male students of ...,mktosubp@uw.edu,men_of_color_initiative_agent,1764853521
https://www.mines.edu/student-activities/leadership/summit/,Leadership Summit - Student Activities,sail@mines.edu,leadership_summit_agent,1764871255
https://fyex.nmsu.edu/men-of-color/index.html,BE ... - Men of Color (MOC) Initiative | New Mexico State University,moci@nmsu.edu,men_of_color_initiative_agent,1764853517
https://sc.edu/about/offices_and_divisions/leadership_and_service_center/awards_and_recognition/service_learning_awards/,Service Learning Awards - Leadership and Service Center ...,jbodrick@sc.edu,service_learning_civic_engagement_agent,1764854421
https://www.k-state.edu/today/announcement/?id=54615,Academic Achievement Center staff present at national conference,vpcm@k-state.edu,first_gen_student_success_agent,1764810198
https://www.columbusstate.edu/student-life/leadership-and-service/,Student Leadership & Service - Columbus State University,dataprivacy@columbusstate.edu,service_learning_civic_engagement_agent,1764854431
https://www.njcu.edu/academics/academic-success-resources/men-color-initiative,Men of Color Initiative | New Jersey City University,lwilliams8@njcu.edu,men_of_color_initiative_agent,1764853518
https://slce.uic.edu/about/contact/,Contact | Student Leadership and Civic Engagement | University of ...,slce@uic.edu,service_learning_civic_engagement_agent,1764854426
https://www.unlv.edu/sll,Service Learning & Leadership | UNLV,admissions@unlv.edu,service_learning_civic_engagement_agent,1764854421
https://leadership.utah.edu/student-leadership-summit/,Student Leadership Summit – Student Leadership & Involvement,anna.nguyen@utah.edu,leadership_summit_agent,1764871253
https://www.northampton.edu/events/2024/11/leadership-day-of-service-student-leadership-summit-day-3.html,Leadership Day of Service: Student Leadership Summit Day 3 ...,studentlife@northampton.edu,leadership_summit_agent,1764871262
https://www.odu.edu/article/university-recognized-for-its-efforts-to-help-first-generation-students-succeed,University Recognized for its Efforts to Help First-Generation ...,jgarvey@odu.edu,first_gen_student_success_agent,1764810199
https://sccnc.edu/news/youth-leadership-summit-aims-seniors-for-a-global-society/,Youth Leadership Summit aims seniors for a global society ...,julia.roberts@sccnc.edu,leadership_summit_agent,1764871259
